Country,Andorra,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nicaragua,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Singapore,Slovakia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam
Colombia,,0.664,3.16,2.483,1.708,1.413,0.434,0.575,2.731,1.063,0.0,1.951,0.918,5.81,0.625,0.141,0.341,0.54,2.309,2.877,1.71,1.779,0.68,1.154,0.439,1.17,2.473,4.191,1.253,0.733,2.912,2.349,1.78,1.323,4.024,2.855,1.444,1.56,0.235,0.596,4.455,3.185,0.416,4.697,0.715,0.473,0.402,1.043,0.96,1.165,0.794,1.306,0.46,2.382,3.133,1.647,0.527,1.019,5.758,1.987,0.375,0.824,0.521,1.517,0.472,3.674,3.293,1.317,1.501
Costa Rica,,1.429,4.01,3.631,2.763,1.372,1.433,0.978,3.047,0.453,1.951,0.0,2.044,3.203,2.725,2.448,1.108,0.789,1.169,1.25,2.177,2.833,1.75,2.112,1.481,2.922,5.231,1.456,3.134,1.997,4.02,1.385,3.512,4.805,1.588,1.025,1.582,3.829,2.926,1.919,2.193,3.355,1.501,1.848,2.203,1.793,0.759,4.0,2.803,0.658,1.94,2.11,3.017,3.84,9.266,3.03,0.564,1.103,2.81,3.307,0.828,0.758,1.117,1.716,2.207,4.841,4.296,0.486,2.192
Czech Republic,,0.15,0.822,1.435,0.32,1.072,0.284,0.673,0.654,1.219,0.918,2.044,0.0,3.229,0.744,1.274,0.648,1.041,0.788,1.13,0.339,0.369,0.814,2.416,0.888,1.335,1.023,2.306,0.717,1.371,1.197,1.066,0.286,1.31,1.969,1.261,0.19,1.965,0.739,0.169,1.983,1.045,1.129,2.474,1.797,0.185,0.978,1.362,0.249,1.298,1.136,1.312,1.178,2.586,3.318,0.337,0.949,0.253,3.326,0.539,0.799,1.055,0.379,1.923,1.032,1.318,0.925,0.932,1.688
Denmark,,3.666,2.188,4.143,4.293,3.91,3.814,4.154,1.491,3.803,5.81,3.203,3.229,0.0,3.929,6.046,4.3,4.889,1.036,0.773,3.447,2.82,6.056,7.66,4.722,3.52,5.84,0.479,3.355,4.191,2.201,2.304,3.876,7.739,1.041,1.1,2.123,5.23,6.356,3.551,0.588,1.658,5.091,0.444,6.787,3.438,4.619,5.539,5.121,4.778,5.73,5.737,6.747,3.615,10.675,2.493,4.134,3.129,0.196,2.897,3.626,3.17,3.932,5.921,5.776,2.222,2.207,3.602,2.982
Dominican Republic,,0.987,1.839,2.11,1.9,1.767,0.628,1.155,1.477,1.772,0.625,2.725,0.744,3.929,0.0,0.482,0.837,1.523,1.711,2.201,1.749,1.164,1.925,2.579,0.868,0.17,2.159,3.315,0.275,0.469,1.373,2.36,1.355,1.769,3.416,2.423,1.105,0.822,0.705,0.445,3.402,1.93,0.943,3.703,1.627,0.291,1.216,0.421,1.319,2.335,1.555,2.103,0.982,0.869,2.38,0.63,1.252,1.311,4.134,1.148,0.639,0.931,0.989,2.518,1.0,1.891,1.816,2.188,0.628
Ecuador,,1.186,3.611,3.321,2.255,1.469,0.587,0.769,3.086,1.296,0.141,2.448,1.274,6.046,0.482,0.0,0.468,0.829,2.667,3.307,2.106,2.329,1.318,1.144,0.405,0.79,3.171,4.52,0.984,0.386,3.232,3.23,2.316,1.916,4.378,3.228,1.94,0.898,0.32,0.691,4.816,3.741,0.342,5.049,0.575,0.574,0.628,0.578,1.418,1.612,0.825,1.385,0.337,1.677,2.83,1.86,0.779,1.453,5.887,2.483,0.483,0.808,0.794,1.537,0.388,3.991,3.675,2.042,1.063
Egypt,,0.505,2.755,3.025,1.163,0.387,0.088,0.04,2.156,0.264,0.341,1.108,0.648,4.3,0.837,0.468,0.0,0.123,1.279,1.722,0.872,1.752,0.624,0.687,0.059,1.187,2.932,2.605,0.991,0.504,2.936,1.956,1.739,2.293,2.27,1.497,1.001,1.266,0.516,0.286,2.769,2.846,0.1,2.963,0.405,0.286,0.078,1.119,0.844,0.415,0.257,0.497,0.484,2.165,4.347,1.51,0.108,0.378,3.916,2.07,0.147,0.227,0.076,0.583,0.218,3.434,2.902,0.76,1.062
El Salvador,,0.661,3.523,3.436,1.415,0.488,0.346,0.09,2.845,0.148,0.54,0.789,1.041,4.889,1.523,0.829,0.123,0.0,1.567,1.978,1.124,2.274,0.478,0.513,0.25,1.984,3.534,2.814,1.8,0.983,3.807,1.996,2.279,2.7,2.426,1.651,1.328,2.06,0.869,0.711,3.103,3.498,0.262,3.205,0.482,0.716,0.029,1.934,1.124,0.134,0.345,0.536,0.822,3.135,5.556,2.24,0.053,0.482,4.387,2.705,0.311,0.402,0.183,0.481,0.459,4.409,3.748,0.524,1.7
Estonia,,0.92,1.139,2.321,1.323,1.166,0.997,1.145,0.594,1.096,2.309,1.169,0.788,1.036,1.711,2.667,1.279,1.567,0.0,0.041,0.848,1.042,2.129,3.409,1.603,1.842,2.974,0.4,1.425,1.826,1.484,0.782,1.48,3.858,0.392,0.106,0.35,2.8,2.571,0.961,0.381,0.961,1.872,0.487,2.9,0.948,1.478,2.762,1.731,1.501,2.087,2.107,2.856,2.585,6.785,0.94,1.23,0.566,0.968,1.279,1.113,0.949,0.98,2.349,2.209,1.609,1.258,0.944,1.54
Finland,,1.239,1.277,2.483,1.677,1.543,1.423,1.549,0.706,1.396,2.877,1.25,1.13,0.773,2.201,3.307,1.722,1.978,0.041,0.0,1.158,1.257,2.579,4.04,2.111,2.303,3.384,0.239,1.896,2.331,1.631,0.771,1.811,4.458,0.309,0.097,0.522,3.444,3.228,1.392,0.255,0.994,2.403,0.3,3.55,1.367,1.888,3.442,2.203,1.824,2.647,2.633,3.565,3.027,7.748,1.226,1.587,0.843,0.74,1.504,1.482,1.282,1.371,2.847,2.822,1.746,1.41,1.111,1.923
France,,0.561,1.348,2.823,0.131,0.63,0.508,0.686,1.109,1.114,1.71,2.177,0.339,3.447,1.749,2.106,0.872,1.124,0.848,1.158,0.0,1.138,0.984,2.184,1.041,2.345,1.842,2.141,1.257,1.961,2.351,1.642,0.783,2.45,1.397,1.011,0.582,2.394,1.289,0.465,1.578,1.816,1.344,2.162,1.813,0.66,1.227,2.017,0.409,1.037,0.925,0.794,1.452,3.597,4.623,1.068,1.176,0.222,3.135,1.464,1.346,1.318,0.471,1.369,1.145,2.153,1.49,1.041,2.351
Germany,,0.534,0.318,0.485,0.931,2.543,1.186,1.847,0.347,2.465,1.779,2.833,0.369,2.82,1.164,2.329,1.752,2.274,1.042,1.257,1.138,0.0,1.697,4.471,2.209,1.849,0.621,2.544,1.357,2.478,0.403,0.693,0.198,1.307,2.552,1.748,0.24,3.321,1.729,0.92,2.218,0.297,2.522,2.697,3.607,0.813,2.109,2.408,0.888,2.607,2.757,3.053,2.62,3.237,3.764,0.212,2.005,0.97,3.42,0.033,1.616,2.098,1.345,3.869,2.504,0.567,0.406,1.502,2.525
Greece,,0.389,3.007,2.456,0.797,1.279,0.628,0.584,2.745,0.99,0.68,1.75,0.814,6.056,1.925,1.318,0.624,0.478,2.129,2.579,0.984,1.697,0.0,1.306,0.922,2.916,2.026,3.99,2.353,2.123,3.543,1.717,1.422,1.346,3.389,2.439,1.217,3.25,0.712,0.91,3.919,3.137,1.03,4.323,1.25,0.942,0.585,2.525,0.47,0.578,0.831,1.007,1.079,4.716,4.614,2.089,0.667,0.56,5.87,2.109,1.007,1.458,0.432,1.363,0.948,3.995,3.279,0.579,3.139
Guatemala,,2.067,5.932,6.23,2.608,0.818,1.117,0.655,5.097,0.781,1.154,2.112,2.416,7.66,2.579,1.144,0.687,0.513,3.409,4.04,2.184,4.471,1.306,0.0,0.524,2.956,5.553,4.91,2.686,1.392,6.42,4.511,4.098,4.108,4.143,3.355,3.204,2.048,1.268,1.602,5.179,6.25,0.433,5.356,0.141,1.725,0.618,2.177,2.125,0.718,0.314,0.456,0.736,3.962,6.007,4.091,0.775,1.645,6.667,5.0,1.201,1.129,0.96,0.242,0.47,7.01,6.144,1.978,2.478
Honduras,,0.843,3.165,3.738,1.412,0.339,0.17,0.115,2.517,0.382,0.439,1.481,0.888,4.722,0.868,0.405,0.059,0.25,1.603,2.111,1.041,2.209,0.922,0.524,0.0,1.116,3.391,2.964,0.902,0.361,3.371,2.634,2.1,2.661,2.548,1.801,1.389,0.891,0.517,0.352,3.097,3.386,0.02,3.324,0.211,0.386,0.2,0.861,1.051,0.604,0.153,0.385,0.317,1.943,4.156,1.767,0.262,0.623,4.206,2.522,0.276,0.267,0.211,0.445,0.086,3.828,3.279,1.21,0.939
Hong Kong,,1.699,2.361,3.044,2.763,1.952,1.03,1.53,1.804,2.004,1.17,2.922,1.335,3.52,0.17,0.79,1.187,1.984,1.842,2.303,2.345,1.849,2.916,2.956,1.116,0.0,3.36,3.097,0.304,0.341,1.719,3.035,2.212,3.028,3.356,2.478,1.615,0.567,1.365,0.82,3.329,2.391,1.159,3.494,1.913,0.646,1.603,0.486,2.222,2.858,1.96,2.528,1.443,0.273,3.169,1.017,1.596,1.847,3.618,1.797,0.847,0.932,1.466,2.779,1.352,2.268,2.282,2.856,0.235
Hungary,,1.266,1.031,0.982,1.141,3.998,2.161,3.074,1.501,4.236,2.473,5.231,1.023,5.84,2.159,3.171,2.932,3.534,2.974,3.384,1.842,0.621,2.026,5.553,3.391,3.36,0.0,5.404,2.408,4.101,1.422,2.11,0.285,0.576,5.005,3.961,1.352,4.611,1.894,1.778,4.603,1.43,3.766,5.52,4.61,1.751,3.453,3.113,0.896,3.981,3.627,3.93,3.017,5.334,2.535,1.027,3.501,2.038,6.618,0.617,3.166,3.994,2.373,5.209,3.296,1.378,1.123,2.874,4.63
Iceland,,2.426,2.401,4.027,2.992,2.084,2.403,2.357,1.564,1.877,4.191,1.456,2.306,0.479,3.315,4.52,2.605,2.814,0.4,0.239,2.141,2.544,3.99,4.91,2.964,3.097,5.404,0.0,2.829,2.998,2.73,1.611,3.337,6.667,0.208,0.227,1.449,4.215,4.763,2.434,0.209,1.955,3.243,0.036,4.493,2.409,2.709,4.615,3.73,2.524,3.601,3.507,4.892,3.448,10.174,2.357,2.312,1.72,0.251,2.837,2.228,1.744,2.308,3.462,3.888,2.863,2.529,1.901,2.299
India,,1.265,1.535,2.964,1.572,1.326,0.645,1.188,1.169,1.827,1.253,3.134,0.717,3.355,0.275,0.984,0.991,1.8,1.425,1.896,1.257,1.357,2.353,2.686,0.902,0.304,2.408,2.829,0.0,0.57,1.509,2.806,1.335,2.554,2.658,1.981,1.137,0.492,0.997,0.357,2.599,1.926,1.066,3.047,1.697,0.35,1.56,0.303,1.307,2.448,1.398,1.717,1.047,0.792,2.569,0.577,1.565,1.227,3.321,1.365,1.007,1.011,1.038,2.223,0.985,1.641,1.467,2.55,0.579
Indonesia,,1.504,3.298,3.947,2.505,0.998,0.603,0.728,2.538,0.991,0.733,1.997,1.371,4.191,0.469,0.386,0.504,0.983,1.826,2.331,1.961,2.478,2.123,1.392,0.361,0.341,4.101,2.998,0.57,0.0,2.948,3.194,2.683,3.35,2.986,2.178,1.782,0.37,0.993,0.647,3.349,3.371,0.333,3.431,0.746,0.559,0.739,0.514,1.988,1.648,0.915,1.353,0.766,0.686,3.985,1.689,0.77,1.379,3.852,2.622,0.385,0.329,0.851,1.337,0.555,3.562,3.304,2.156,0.208
Ireland,,1.636,0.354,0.833,2.279,3.842,2.22,3.158,0.368,3.806,2.912,4.02,1.197,2.201,1.373,3.232,2.936,3.807,1.484,1.631,2.351,0.403,3.543,6.42,3.371,1.719,1.422,2.73,1.509,2.948,0.0,1.429,0.919,2.472,3.136,2.361,0.868,3.605,2.953,1.732,2.473,0.209,3.708,2.875,5.15,1.521,3.456,2.791,2.236,4.375,4.325,4.762,3.931,2.668,4.172,0.329,3.279,2.159,3.081,0.241,2.464,2.89,2.596,5.633,3.811,0.173,0.327,2.954,2.498
